STD Report
1 de julho de 2026 - 5 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-08-03,v4 | search_institucional | BR,brand,653,36,"5,51%",BRL,"42,78","0,00"
2026-08-03,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,247,32,"12,96%",BRL,"49,25","3,00"
2026-08-03,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,118,12,"10,17%",BRL,"41,39","0,00"
2026-08-03,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,34,6,"17,65%",BRL,"98,10","0,00"
2026-08-04,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,362,21,"5,80%",BRL,"253,58","0,00"
2026-08-04,v4 |✈️| search_taxiaereo | SP,taxiaereo,130,6,"4,62%",BRL,"14,47","0,00"
2026-08-04,v4 | search_institucional | BR,brand,723,37,"5,12%",BRL,"43,05","1,00"
2026-08-04,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,373,32,"8,58%",BRL,"47,91","1,00"
2026-08-04,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,138,4,"2,90%",BRL,"13,10","0,00"
2026-08-04,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,20,5,"25,00%",BRL,"62,76","0,00"
2026-08-05,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,180,23,"12,78%",BRL,"241,19","0,00"
2026-08-05,v4 |✈️| search_taxiaereo | SP,taxiaereo,107,7,"6,54%",BRL,"46,50","1,00"
2026-08-05,v4 | search_institucional | BR,brand,717,38,"5,30%",BRL,"43,69","1,00"
2026-08-05,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,384,40,"10,42%",BRL,"84,44","1,00"
2026-08-05,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,100,10,"10,00%",BRL,"96,81","0,00"
2026-08-05,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,49,4,"8,16%",BRL,"68,55","0,00"
