STD Report
1 de fevereiro de 2026 - 21 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-07-06,v4 |✈️| search_taxiaereo | SP,taxiaereo,40,3,"7,50%",BRL,"19,89","0,00"
2026-07-06,v4 | search_institucional | BR,brand,235,26,"11,06%",BRL,"93,73","0,00"
2026-07-06,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,227,33,"14,54%",BRL,"70,53","1,00"
2026-07-06,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,45,5,"11,11%",BRL,"31,90","0,00"
2026-07-06,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,19,2,"10,53%",BRL,"22,50","0,00"
2026-07-07,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,262,37,"14,12%",BRL,"88,06","0,00"
2026-07-07,v4 |✈️| search_taxiaereo | SP,taxiaereo,54,5,"9,26%",BRL,"10,69","0,00"
2026-07-07,v4 | search_institucional | BR,brand,175,15,"8,57%",BRL,"73,09","1,00"
2026-07-07,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,260,28,"10,77%",BRL,"70,87","1,00"
2026-07-07,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,12,2,"16,67%",BRL,"31,90","0,00"
2026-07-07,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,21,2,"9,52%",BRL,"18,68","0,00"
2026-07-08,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,391,37,"9,46%",BRL,"92,94","0,00"
2026-07-08,v4 |✈️| search_taxiaereo | SP,taxiaereo,107,3,"2,80%",BRL,"10,20","0,00"
2026-07-08,v4 | search_institucional | BR,brand,132,16,"12,12%",BRL,"70,89","2,00"
2026-07-08,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,303,31,"10,23%",BRL,"71,15","1,00"
2026-07-08,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,99,6,"6,06%",BRL,"29,57","0,00"
2026-07-08,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,10,1,"10,00%",BRL,"22,05","0,00"
2026-07-09,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,252,59,"23,41%",BRL,"84,09","1,00"
2026-07-09,v4 |✈️| search_taxiaereo | SP,taxiaereo,56,3,"5,36%",BRL,"10,53","0,00"
2026-07-09,v4 | search_institucional | BR,brand,392,25,"6,38%",BRL,"74,79","1,00"
2026-07-09,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,326,33,"10,12%",BRL,"75,37","0,00"
2026-07-09,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,51,10,"19,61%",BRL,"32,72","0,00"
2026-07-09,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,42,2,"4,76%",BRL,"10,27","0,00"
2026-07-10,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,307,50,"16,29%",BRL,"100,94","0,00"
2026-07-10,v4 |✈️| search_taxiaereo | SP,taxiaereo,26,4,"15,38%",BRL,"11,08","0,00"
2026-07-10,v4 | search_institucional | BR,brand,352,37,"10,51%",BRL,"70,85","2,00"
2026-07-10,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,235,26,"11,06%",BRL,"51,83","1,00"
2026-07-10,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,68,10,"14,71%",BRL,"28,54","0,00"
2026-07-10,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,24,2,"8,33%",BRL,"70,30","0,00"
2026-07-11,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,245,51,"20,82%",BRL,"88,95","0,00"
2026-07-11,v4 |✈️| search_taxiaereo | SP,taxiaereo,80,2,"2,50%",BRL,"5,69","0,00"
2026-07-11,v4 | search_institucional | BR,brand,810,63,"7,78%",BRL,"67,92","0,00"
2026-07-11,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,244,29,"11,89%",BRL,"55,59","0,00"
