Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VISITAS,P2,"Casa & Cia Centro",not_delivering,ad,36,39,1.08333333,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.81,,2026-03-07,Contínuo,1,20.76923077,2026-03-08,2026-03-08
2026-03-08,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A2,"Casa & Cia Centro",not_delivering,ad,579,617,1.0656304,"Clique de 1 dia","Visitas ao perfil do Instagram",9,9.02,1.00222222,2026-03-06,Contínuo,9,14.6191248,2026-03-08,2026-03-08
2026-03-08,"HA | ABO | ENGAJ | 9 LINKS | 06.03 - FASE 2 - 50,00","A6 - INTERESSE VIAJANTES",C,"Casa & Cia Centro",not_delivering,ad,323,378,1.17027864,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,9.82,9.82,2026-03-06,Contínuo,4,25.97883598,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,P2,"Casa & Cia Centro",not_delivering,ad,13,15,1.15384615,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.1,,2026-03-07,Contínuo,,6.66666667,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,VIDEO,"Casa & Cia Centro",not_delivering,ad,1850,2936,1.58702703,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",50,51.01,1.0202,2026-03-07,2026-03-14,94,17.3739782,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VISITAS,P1,"Casa & Cia Centro",not_delivering,ad,6,6,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.05,,2026-03-07,Contínuo,,8.33333333,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",VISITAS,P1,"Casa & Cia Centro",not_delivering,ad,121,148,1.2231405,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",4,2.15,0.5375,2026-03-07,Contínuo,5,14.52702703,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",VISITAS,P2,"Casa & Cia Centro",inactive,ad,35,36,1.02857143,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.46,,2026-03-07,Contínuo,,12.77777778,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",ENGAJAMENTO,P2,"Casa & Cia Centro",not_delivering,ad,3,3,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.02,,2026-03-07,Contínuo,,6.66666667,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",ENGAJAMENTO,P1,"Casa & Cia Centro",not_delivering,ad,10,10,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.09,,2026-03-07,Contínuo,,9,2026-03-08,2026-03-08
