Públicos-alvo
1 de janeiro de 2026 - 6 de julho de 2026
Segmento de público-alvo,Estado do segmento de público-alvo,Campanha,Grupo de anúncios,Código da moeda,CPC máx. padrão do grupo de anúncios,CPC máximo do segmento de público-alvo,Aj. lance do segmento de público-alvo,Configuração de segmentação,Cliques,Impr.,CTR,CPC méd.,Custo,CPM médio
Alimentação › Clientes assíduos de cafeterias,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Audiófilos,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Móveis externos e de jardim › Conjuntos de móveis para ambientes externos,Ativado,[S] Concorrentes,concorrentes,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços financeiros › Serviços de investimento,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0,-40%,Observação,0,0,0,0,"0,00",0
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Notícias e política › Leitores ávidos de notícias › Leitores ávidos de notícias sobre negócios,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, +0%,Observação,0,0,0,0,"0,00",0
Alimentação › Apreciadores de culinária,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Aficionados por compras de luxo,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Entusiastas de decoração de interiores,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Bancos e finanças › Investidores ávidos,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Piscinas e spas,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Atentos ao custo-benefício,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Paisagismo,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de design de interiores e decoração,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de arquitetura,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estilos de vida e hobbies › Profissionais de negócios,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viajantes a negócios,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Pessoas que comem fora regularmente,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Clientes assíduos de cafeterias,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Audiófilos,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0,-10%,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Móveis externos e de jardim › Conjuntos de móveis para ambientes externos,Ativado,exata cpa,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Serviços financeiros › Serviços de investimento,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0,-40%,Observação,0,0,0,0,"0,00",0
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Notícias e política › Leitores ávidos de notícias › Leitores ávidos de notícias sobre negócios,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, +0%,Observação,0,0,0,0,"0,00",0
Alimentação › Apreciadores de culinária,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Aficionados por compras de luxo,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Casa e jardim › Entusiastas de decoração de interiores,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Bancos e finanças › Investidores ávidos,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Piscinas e spas,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Atentos ao custo-benefício,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Paisagismo,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de design de interiores e decoração,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de arquitetura,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estilos de vida e hobbies › Profissionais de negócios,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Viajantes a negócios,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, +15%,Observação,0,0,0,0,"0,00",0
Alimentação › Pessoas que comem fora regularmente,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Clientes assíduos de cafeterias,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Audiófilos,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Tecnologia › Tecnófilos › Entusiastas de automação residencial,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0,-10%,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade pré-escolar (4 a 5 anos),Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Móveis externos e de jardim › Conjuntos de móveis para ambientes externos,Ativado,[C] Branding exata CPC test,01 - Hyla - Marca,BRL,"0,66",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Reforma da casa,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Pessoas que comprarão uma casa ou compraram uma recentemente,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de assistência médica,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de tecnologia,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor hoteleiro,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de educação,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de produção,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de construção,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de pequeno porte (1 a 249 funcionários),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de grande porte (250 a 10.000 funcionários),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de porte muito grande (mais de 10.000 funcionários),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Estado civil › Em um relacionamento,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor financeiro,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor imobiliário,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Visitantes,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Limpeza,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Hyla + concorrentes,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Todos os visitantes (AdWords),Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Todos os usuários,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
equipamentos e máquinas de limpeza profissional,Ativado,Vídeo,Hyla 1,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a América do Norte,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Ásia-Pacífico,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Viagens › Viagens por destino › Viagens para a Europa,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Reforma da casa,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Pessoas que comprarão uma casa ou compraram uma recentemente,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de bebês (0 a 1 ano),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças pequenas (1 a 3 anos),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de crianças em idade escolar (6 a 12 anos),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Status parental › Pai & mãe › Pais de adolescentes (13 a 17 anos),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Estado civil › Casado,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de assistência médica,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de tecnologia,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor hoteleiro,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de educação,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de produção,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor de construção,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de pequeno porte (1 a 249 funcionários),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de grande porte (250 a 10.000 funcionários),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Tamanho da empresa › Empregador de porte muito grande (mais de 10.000 funcionários),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Estado civil › Em um relacionamento,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Novo animal de estimação,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor financeiro,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Emprego › Setor › Setor imobiliário,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Visitantes,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Limpeza,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Hyla + concorrentes,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Todos os visitantes (AdWords),Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Todos os usuários,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
equipamentos e máquinas de limpeza profissional,Ativado,Vídeo,Hyla 1 #2,BRL,"0,00","0,30", --,Segmentação,0,0,0,0,"0,00",0
Serviços financeiros › Serviços de investimento,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Alimentação › Entusiastas de culinária,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0,-10%,Observação,0,0,0,0,"0,00",0
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, +15%,Observação,0,0,0,0,"0,00",0
Viagens › Aficionados por viagens › Viajantes de locais com neve,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Notícias e política › Leitores ávidos de notícias › Leitores ávidos de notícias sobre negócios,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, +0%,Observação,0,0,0,0,"0,00",0
Alimentação › Apreciadores de culinária,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, +15%,Observação,0,0,0,0,"0,00",0
Compradores › Aficionados por compras de luxo,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Entusiastas de decoração de interiores,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Bancos e finanças › Investidores ávidos,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Churrasqueiras e grelhas,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Itens externos › Piscinas e spas,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tapetes e carpetes,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Decoração de interiores › Tratamentos para cortinas e janelas,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Viagens,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Compradores › Atentos ao custo-benefício,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços financeiros,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Paisagismo,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de design de interiores e decoração,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Casa e jardim › Serviços de casa e jardim › Serviços de arquitetura,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de publicidade e marketing,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Material de escritório,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de comerciantes e processamento de pagamento,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de documentação e impressão para empresas,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Planejamento de eventos corporativos,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de recrutamento e seleção,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços de folha de pagamento,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Serviços financeiros para empresas,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais › Tecnologia de negócios,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Serviços comerciais,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, --,Observação,0,0,0,0,"0,00",0
Estilos de vida e hobbies › Profissionais de negócios,Ativado,[C] Branding Branding may23,01 - Hyla - Marca,BRL,"0,38",0, +25%,Observação,0,0,0,0,"0,00",0
