# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: HYLA do Brasil
# Propriedade: Hyla do Brasil
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260610
# Data de término: 20260707
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/loja/ec/jaquelinestadler/,4,4,1,0.25,0,13,0
/loja/ec/lucianaserpa/,2,2,1,3.5,0,7,0
/loja/ec/myriastella/,4,2,2,1.5,0,9,0
/loja/ec/simonekasmiroski/,1,1,1,7,0,4,0
/loja/equipamentos/,128,96,1.3333333333333333,15.739583333333334,0,279,0
/loja/equipamentos/equalizadores-de-ar/,167,129,1.2945736434108528,14.387596899224807,0,351,0
/loja/equipamentos/equalizadores-de-ar/aera110v/,3,1,3,4,0,5,0
/loja/equipamentos/equalizadores-de-ar/aera220p/,113,89,1.2696629213483146,23.53932584269663,0,332,0
/loja/equipamentos/hyla-est-defender-branca/,586,494,1.1862348178137652,18.61740890688259,0,1150,0
/loja/equipamentos/hyla-est-defender/,1101,856,1.286214953271028,24.35747663551402,0,2217,0
/loja/equipamentos/hyla/,386,279,1.3835125448028673,11.476702508960573,0,789,0
/mapa-do-site/,7,5,1.4,23.4,0,14,0
/marca/hyla/,6,6,1,16.5,0,23,0
/minha-conta/,1,1,1,6,0,2,0
/politica-de-entrega/,6,5,1.2,28.8,0,20,0
/politica-de-privacidade/,2,2,1,0,0,4,0
/politica-de-trocas-e-devolucoes/,2,2,1,0,0,4,0
/produto-tag/aspiradordepoeagua/,14,10,1.4,11.1,0,47,0
/produto-tag/aspiradorhylaest/,1,1,1,4,0,4,0
/produto-tag/hylabrasil/,34,28,1.2142857142857142,15.5,0,116,0
/produto-tag/purificadodear/,1,1,1,7,0,2,0
/produto-tag/purificadordear/,1,1,1,1,0,4,0
/produto-tag/spotless/,5,4,1.25,20.5,0,18,0
/produto/hyla-libra/,8,8,1,47.25,0,26,0
/produto/mini-escova-eletrica-gst-220v/,4,4,1,7,0,10,0
/quem-somos/,71,59,1.2033898305084745,52.71186440677966,0,176,0
/saude/,2,2,1,4.5,0,7,0
/seja-um-associado/,68,60,1.1333333333333333,55.78333333333333,0,389,0
/velocidade-tempo-de-faxina-x-limpeza-com-hyla/,1,1,1,0,0,4,0
/wp-adimin,1,1,1,16,0,5,0
/wp-content/cache/background-css/1/hyladobrasil.com.br/wp-content/uploads/elementor/css/post-5830.css,2,2,1,0,0,7,0
/wp-content/cache/background-css/1/www.hyladobrasil.com.br/wp-content/uploads/elementor/css/post-5700.css,1,1,1,0,0,3,0
/wp-content/cache/background-css/1/www.hyladobrasil.com.br/wp-content/uploads/elementor/css/post-89.css,1,1,1,0,0,3,0
/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-consent-mode-da15714e8829855bb7ce.js,1,1,1,0,0,3,0
/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-contact-form-7-08e8756782316cb65854.js,2,3,0.6666666666666666,8.666666666666666,0,9,0
/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-woocommerce-a5f72561d6cdf416147d.js,1,1,1,14,0,4,0
