Performance da campanha
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Campanha,Estado da campanha,Tipo de campanha,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-03-05,PMAX,Ativada,Performance Max,482,4.342,"11,10%",BRL,"0,21","100,39",0,0,"149,00",0,"0,67","8,06%"
2026-04-24,PMAX,Ativada,Performance Max,482,10.279,"4,69%",BRL,"0,58","279,85",0,0,"17,00",0,"16,46","1,55%"
2026-02-13,PMAX,Ativada,Performance Max,470,5.802,"8,10%",BRL,"0,11","53,47",0,0,"88,00",0,"0,61","5,30%"
2026-01-22,PMAX,Ativada,Performance Max,465,6.513,"7,14%",BRL,"0,15","68,92",0,0,"74,00",0,"0,93","4,17%"
2026-02-12,PMAX,Ativada,Performance Max,458,3.663,"12,50%",BRL,"0,19","88,52",0,0,"98,49",0,"0,90","7,46%"
2026-04-17,PMAX,Ativada,Performance Max,453,11.314,"4,00%",BRL,"0,36","161,14",0,0,"23,00",0,"7,01","5,05%"
2026-02-18,PMAX,Ativada,Performance Max,450,4.215,"10,68%",BRL,"0,12","53,25",0,0,"114,98",0,"0,46","8,59%"
2026-02-01,PMAX,Ativada,Performance Max,443,2.759,"16,06%",BRL,"0,15","66,10",0,0,"117,00",0,"0,56","8,41%"
2026-02-22,PMAX,Ativada,Performance Max,443,5.553,"7,98%",BRL,"0,12","53,57",0,0,"93,00",0,"0,58","6,32%"
2026-02-15,PMAX,Ativada,Performance Max,441,4.795,"9,20%",BRL,"0,11","48,33",0,0,"105,00",0,"0,46","6,97%"
2026-02-26,PMAX,Ativada,Performance Max,420,2.629,"15,98%",BRL,"0,16","68,89",0,0,"132,00",0,"0,52","10,08%"
2026-01-13,PMAX,Ativada,Performance Max,413,4.623,"8,93%",BRL,"0,24","99,63",0,0,"66,67",0,"1,49","9,79%"
2026-05-12,PMAX,Ativada,Performance Max,394,9.114,"4,32%",BRL,"0,26","101,18",0,0,"13,00",0,"7,78","0,36%"
2026-02-24,PMAX,Ativada,Performance Max,387,2.784,"13,90%",BRL,"0,16","62,28",0,0,"123,48",0,"0,50","10,00%"
2026-02-14,PMAX,Ativada,Performance Max,375,3.495,"10,73%",BRL,"0,10","38,71",0,0,"74,00",0,"0,52","4,27%"
2026-05-11,PMAX,Ativada,Performance Max,363,9.304,"3,90%",BRL,"0,29","106,63",0,0,"23,00",0,"4,64","0,67%"
2026-06-12,PMAX,Ativada,Performance Max,360,6.214,"5,79%",BRL,"0,32","116,10",0,0,"22,50",0,"5,16","3,38%"
2026-04-18,PMAX,Ativada,Performance Max,359,11.242,"3,19%",BRL,"0,22","80,35",0,0,"16,00",0,"5,02","4,46%"
2026-04-10,PMAX,Ativada,Performance Max,348,7.298,"4,77%",BRL,"0,73","255,11",0,0,"42,02",0,"6,07","8,66%"
2026-02-07,PMAX,Ativada,Performance Max,347,3.969,"8,74%",BRL,"0,20","67,89",0,0,"172,99",0,"0,39","25,33%"
2026-02-19,PMAX,Ativada,Performance Max,343,4.588,"7,48%",BRL,"0,12","40,17",0,0,"101,03",0,"0,40","9,42%"
2026-02-08,PMAX,Ativada,Performance Max,338,4.057,"8,33%",BRL,"0,17","57,43",0,0,"107,00",0,"0,54","15,71%"
2026-02-11,PMAX,Ativada,Performance Max,338,3.557,"9,50%",BRL,"0,20","67,03",0,0,"107,49",0,"0,62","13,59%"
2026-03-12,PMAX,Ativada,Performance Max,335,4.164,"8,05%",BRL,"0,46","154,31",0,0,"162,02",0,"0,95","34,69%"
2026-03-03,PMAX,Ativada,Performance Max,334,1.957,"17,07%",BRL,"0,19","62,44",0,0,"88,49",0,"0,71","8,48%"
2026-02-04,PMAX,Ativada,Performance Max,323,2.702,"11,95%",BRL,"0,19","61,57",0,0,"139,77",0,"0,44","23,73%"
2026-02-02,PMAX,Ativada,Performance Max,319,2.473,"12,90%",BRL,"0,18","57,18",0,0,"67,00",0,"0,85","9,50%"
2026-02-28,PMAX,Ativada,Performance Max,311,1.929,"16,12%",BRL,"0,17","53,10",0,0,"103,00",0,"0,52","10,28%"
2026-04-26,PMAX,Ativada,Performance Max,311,8.758,"3,55%",BRL,"0,79","244,15",0,0,"21,00",0,"11,63","1,17%"
2026-06-02,PMAX,Ativada,Performance Max,287,6.980,"4,11%",BRL,"0,97","279,21",0,0,"23,00",0,"12,14","3,76%"
2026-02-17,PMAX,Ativada,Performance Max,272,2.154,"12,63%",BRL,"0,14","36,77",0,0,"98,03",0,"0,38","11,44%"
2026-05-23,PMAX,Ativada,Performance Max,268,5.370,"4,99%",BRL,"0,56","151,18",0,0,"6,00",0,"25,20","2,08%"
2026-05-29,PMAX,Ativada,Performance Max,262,5.395,"4,86%",BRL,"0,46","121,09",0,0,"7,00",0,"17,30","0,56%"
2026-02-23,PMAX,Ativada,Performance Max,260,2.143,"12,13%",BRL,"0,17","44,21",0,0,"69,51",0,"0,64","7,61%"
2026-02-27,PMAX,Ativada,Performance Max,260,1.381,"18,83%",BRL,"0,15","37,71",0,0,"100,32",0,"0,38","12,46%"
2026-04-11,PMAX,Ativada,Performance Max,255,5.722,"4,46%",BRL,"0,48","122,23",0,0,"3,00",0,"40,75","0,49%"
2026-05-08,PMAX,Ativada,Performance Max,252,5.972,"4,22%",BRL,"0,85","213,79",0,0,"8,95",0,"23,88","1,12%"
2026-03-21,PMAX,Ativada,Performance Max,250,3.837,"6,52%",BRL,"0,24","60,98",0,0,"26,50",0,"2,30","2,84%"
2026-05-14,PMAX,Ativada,Performance Max,249,5.255,"4,74%",BRL,"0,36","89,89",0,0,"12,00",0,"7,49","0,84%"
2026-02-06,PMAX,Ativada,Performance Max,247,1.963,"12,58%",BRL,"0,22","54,82",0,0,"125,01",0,"0,44","25,10%"
2026-05-24,PMAX,Ativada,Performance Max,243,5.198,"4,67%",BRL,"0,77","187,56",0,0,"4,00",0,"46,89","1,46%"
2026-03-02,PMAX,Ativada,Performance Max,239,1.444,"16,55%",BRL,"0,14","33,51",0,0,"68,49",0,"0,49","7,97%"
2026-02-03,PMAX,Ativada,Performance Max,230,1.286,"17,88%",BRL,"0,21","48,87",0,0,"47,77",0,"1,02","8,67%"
2026-02-25,PMAX,Ativada,Performance Max,224,2.205,"10,16%",BRL,"0,16","35,17",0,0,"44,00",0,"0,80","9,46%"
2026-04-12,PMAX,Ativada,Performance Max,219,5.173,"4,23%",BRL,"0,68","149,48",0,0,"8,00",0,"18,68","1,14%"
2026-05-01,PMAX,Ativada,Performance Max,217,5.564,"3,90%",BRL,"0,63","137,07",0,0,"12,00",0,"11,42","5,45%"
